"id"	"name"	"long"	"lat"	"ville"	"feature"	"value"
"691436463"	"Avek"	2.3488784	48.865964	"Paris"	"amenity"	"bar"
"691742572"	"La Mutinerie"	2.3522237	48.8625665	"Paris"	"amenity"	"bar"
"694089988"	"Bamboo bar"	2.5134634	48.7918217	"Paris"	"amenity"	"bar"
"694089998"	"L'étincelle"	2.5142817	48.7934439	"Paris"	"amenity"	"bar"
"694089999"	"Café de Paris"	2.5142451	48.7936453	"Paris"	"amenity"	"bar"
"694399350"	"Lounge Paradise"	2.3483529	48.8704075	"Paris"	"amenity"	"bar"
"697029196"	"Le Saint-Louis"	2.3568707	48.8523357	"Paris"	"amenity"	"bar"
"700449087"	"Le perchoir Marais"	2.3539471	48.8575589	"Paris"	"amenity"	"bar"
"702751011"	"Yono's"	2.3576815	48.8577487	"Paris"	"amenity"	"bar"
"702916141"	"Feria Café"	2.3558116	48.8567788	"Paris"	"amenity"	"bar"
"703870781"	"Bubar"	2.3672909	48.8539723	"Paris"	"amenity"	"bar"
"704819800"	"Bodega 64"	2.3580795	48.8554369	"Paris"	"amenity"	"bar"
"705299975"	"sherry Butt"	2.3640898	48.853292	"Paris"	"amenity"	"bar"
"705657876"	"L'Art Brut Bistrot"	2.3511124	48.8621665	"Paris"	"amenity"	"bar"
"706391394"	"O'Kfée"	2.355008	48.8643703	"Paris"	"amenity"	"bar"
"706432836"	"La Trinquette"	2.3544256	48.8644586	"Paris"	"amenity"	"bar"
"708488355"	"Café Bar Les Affiches"	2.3445259	48.8530176	"Paris"	"amenity"	"bar"
"715428526"	"La Frange"	2.3527292	48.8501786	"Paris"	"amenity"	"bar"
"725068925"	"Le Tabac des sports"	2.5785237	48.7850985	"Paris"	"amenity"	"bar"
"726666485"	"Le Confessionnal"	2.3435349	48.845916	"Paris"	"amenity"	"bar"
"726884432"	"La Buvette"	2.3793124	48.8628942	"Paris"	"amenity"	"bar"
"729117604"	"Le Sans Souci"	2.3361254	48.8813024	"Paris"	"amenity"	"bar"
"749696090"	"Bar Ourcq"	2.3771696	48.8864771	"Paris"	"amenity"	"bar"
"768145023"	"Café du Coin"	2.3270056	48.7297579	"Paris"	"amenity"	"bar"
"770599549"	"Bergerac"	2.4435312	48.8638761	"Paris"	"amenity"	"bar"
"770728185"	"Café Forum"	2.4420478	48.8626362	"Paris"	"amenity"	"bar"
"770728196"	"La Pêche"	2.446561	48.8633184	"Paris"	"amenity"	"bar"
"770728199"	"Tabac des 7 chemins"	2.4467002	48.8679353	"Paris"	"amenity"	"bar"
"770728202"	"Les Monédières"	2.4415701	48.8627118	"Paris"	"amenity"	"bar"
